date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision,metadata-revision
2026-01-08T21:18:52,20260108211852,842,636,551,760,659,729,713,41,1000,0,871,16,325,587,880,765,844,704,781,1000,844,670,551,950,665,772,743,41,1000,0,871,16,327,587,880,765,844,711,781,1000,74f40e6ee9d0a1e2bfd88a015c81bf563c56dced,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-09T04:35:18,20260109043518,842,636,551,760,659,729,713,41,1000,0,875,16,325,587,880,765,844,713,781,1000,844,670,551,950,665,772,743,41,1000,0,875,16,327,587,880,765,844,720,781,1000,40447644a69fc6f0c089b79cc253a2fda6579db3,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-09T09:54:29,20260109095429,842,636,551,760,659,729,713,41,1000,0,873,16,325,587,880,765,844,704,781,1000,844,670,551,950,665,772,743,41,1000,0,873,16,327,587,880,765,844,711,781,1000,c623a8e6b70664161e95d569e26780f511063a48,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-09T16:16:37,20260109161637,842,636,551,760,659,729,713,41,1000,0,875,16,325,579,880,765,844,713,781,1000,844,670,551,950,665,772,743,41,1000,0,875,16,327,579,880,765,844,720,781,1000,15d41a3308909d46263342ca7b0d624841162fac,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-09T20:26:27,20260109202627,848,670,551,760,659,729,713,41,1000,0,877,16,318,587,880,765,844,704,781,1000,850,670,551,950,665,772,743,41,1000,0,877,16,321,587,880,765,844,711,781,1000,13aa00007318ba9e4ef01df74e6157e705c35b55,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-10T09:07:47,20260110090747,848,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,765,844,713,781,1000,850,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,765,844,720,781,1000,d589b8c32e7f1df7e39334d079bfbfee3d41ff6e,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-10T21:54:29,20260110215429,848,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,765,844,704,781,1000,850,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,765,844,711,781,1000,395b1f5ade45aae8d72ce5719f020c0eb3505c2f,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-11T21:42:32,20260111214232,848,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,765,844,713,781,1000,850,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,765,844,720,781,1000,a33153355b9e37df8ce035a5e66f3bd6a346fa49,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-12T21:15:23,20260112211523,848,710,551,760,659,729,713,41,1000,0,873,16,318,587,880,765,844,713,781,1000,850,710,551,950,665,772,743,41,1000,0,873,16,321,587,880,765,844,720,781,1000,63c7136296e4969d855be04bff78a536ed2108b5,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-17T09:12:48,20260117091248,851,710,551,760,659,729,713,41,1000,0,879,16,318,579,880,790,844,723,781,1000,853,710,551,950,665,772,743,41,1000,0,879,16,321,579,880,790,844,723,781,1000,779d6551f7f3d4c240d20c1bbb78e5d82b132e2e,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-17T21:36:27,20260117213627,851,710,551,760,659,729,713,41,1000,0,879,16,325,587,880,790,844,713,781,1000,853,710,551,950,665,772,743,41,1000,0,879,16,327,587,880,790,844,713,781,1000,3e156af71ac45d6c71c6140979096f8e6856f417,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-18T09:00:18,20260118090018,851,710,551,760,659,729,713,41,1000,0,879,16,325,579,880,790,844,723,781,1000,853,710,551,950,665,772,743,41,1000,0,879,16,327,579,880,790,844,723,781,1000,ae2d486911c3149a219b218ced1e66f9e092ea05,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
