date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision
2026-01-09T20:26:27,20260109202627,920,670,551,760,659,729,713,41,1000,0,877,16,318,587,880,767,844,704,781,1000,920,670,551,950,665,772,743,41,1000,0,877,16,321,587,880,767,844,711,781,1000,13aa00007318ba9e4ef01df74e6157e705c35b55
2026-01-10T09:07:47,20260110090747,920,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,767,844,713,781,1000,920,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,767,844,720,781,1000,d589b8c32e7f1df7e39334d079bfbfee3d41ff6e
2026-01-10T21:54:29,20260110215429,920,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,767,844,704,781,1000,920,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,767,844,711,781,1000,395b1f5ade45aae8d72ce5719f020c0eb3505c2f
2026-01-11T21:42:32,20260111214232,920,710,551,760,659,729,713,41,1000,0,875,16,325,587,880,767,844,713,781,1000,920,710,551,950,665,772,743,41,1000,0,875,16,327,587,880,767,844,720,781,1000,a33153355b9e37df8ce035a5e66f3bd6a346fa49
2026-01-12T21:15:23,20260112211523,920,710,551,760,659,729,713,41,1000,0,873,16,318,587,880,767,844,713,781,1000,920,710,551,950,665,772,743,41,1000,0,873,16,321,587,880,767,844,720,781,1000,63c7136296e4969d855be04bff78a536ed2108b5
2026-01-17T09:12:48,20260117091248,925,710,551,760,659,729,713,41,1000,0,880,16,318,579,880,792,844,723,781,1000,925,710,551,950,665,772,743,41,1000,0,880,16,321,579,880,792,844,723,781,1000,779d6551f7f3d4c240d20c1bbb78e5d82b132e2e
2026-01-17T21:36:27,20260117213627,925,710,551,760,659,729,713,41,1000,0,880,16,325,587,880,792,844,713,781,1000,925,710,551,950,665,772,743,41,1000,0,880,16,327,587,880,792,844,713,781,1000,3e156af71ac45d6c71c6140979096f8e6856f417
2026-01-18T09:00:18,20260118090018,925,710,551,760,659,729,713,41,1000,0,880,16,325,579,880,792,844,723,781,1000,925,710,551,950,665,772,743,41,1000,0,880,16,327,579,880,792,844,723,781,1000,ae2d486911c3149a219b218ced1e66f9e092ea05
2026-01-18T21:45:18,20260118214518,925,710,551,760,659,729,713,41,1000,0,880,16,325,587,880,792,844,713,781,1000,925,710,551,950,665,772,743,41,1000,0,880,16,327,587,880,792,844,713,781,1000,cd28f573b7917f3e394ae732d765960119ad32bc
2026-01-20T05:19:39,20260120051939,927,710,551,760,659,729,713,41,1000,0,880,16,318,579,880,792,844,713,781,1000,927,710,551,950,665,772,743,41,1000,0,880,16,321,579,880,792,844,713,781,1000,25ac23315cfb80a77909b36c416ac05f9aedae6f
