date,chrome_android-version,chrome_android-interop-2023-events,chrome_android-interop-2023-property,chrome_android-interop-2023-url,chrome_android-interop-2024-accessibility,chrome_android-interop-2024-dir,chrome_android-interop-2024-dsd,chrome_android-interop-2024-font-size-adjust,chrome_android-interop-2024-indexeddb,chrome_android-interop-2024-layout,chrome_android-interop-2024-nesting,chrome_android-interop-2024-popover,chrome_android-interop-2024-relative-color,chrome_android-interop-2024-scrollbar,chrome_android-interop-2024-starting-style-transition-behavior,chrome_android-interop-2024-text-wrap,chrome_android-interop-2024-video-rvfc,chrome_android-interop-2024-websockets,firefox_android-version,firefox_android-interop-2023-events,firefox_android-interop-2023-property,firefox_android-interop-2023-url,firefox_android-interop-2024-accessibility,firefox_android-interop-2024-dir,firefox_android-interop-2024-dsd,firefox_android-interop-2024-font-size-adjust,firefox_android-interop-2024-indexeddb,firefox_android-interop-2024-layout,firefox_android-interop-2024-nesting,firefox_android-interop-2024-popover,firefox_android-interop-2024-relative-color,firefox_android-interop-2024-scrollbar,firefox_android-interop-2024-starting-style-transition-behavior,firefox_android-interop-2024-text-wrap,firefox_android-interop-2024-video-rvfc,firefox_android-interop-2024-websockets,interop-interop-2023-events,interop-interop-2023-property,interop-interop-2023-url,interop-interop-2024-accessibility,interop-interop-2024-dir,interop-interop-2024-dsd,interop-interop-2024-font-size-adjust,interop-interop-2024-indexeddb,interop-interop-2024-layout,interop-interop-2024-nesting,interop-interop-2024-popover,interop-interop-2024-relative-color,interop-interop-2024-scrollbar,interop-interop-2024-starting-style-transition-behavior,interop-interop-2024-text-wrap,interop-interop-2024-video-rvfc,interop-interop-2024-websockets,revision
2024-01-01,122.0.6220.0,827,1000,868,837,950,896,732,810,750,624,827,198,529,614,647,1000,214,123.0a1-nightly,641,888,974,803,829,909,1000,780,937,861,946,50,672,166,589,111,285,653,888,857,752,797,986,732,917,703,659,822,50,529,250,579,111,214,2a639a9fe4cdefd4ecd124a3f30caf631150eea5
2024-01-04,122.0.6226.0,827,1000,868,840,970,896,732,810,751,624,820,198,529,614,647,1000,214,123.0a1-nightly,641,888,974,803,829,909,1000,780,938,861,946,50,672,166,589,111,285,653,888,857,754,817,986,732,917,704,659,815,50,529,250,579,111,214,3450d2440287c488907ceb4f212c24367f1d42ff
2024-01-05,122.0.6228.0,818,1000,868,842,880,896,692,810,755,650,822,198,509,614,647,1000,214,123.0a1-nightly,641,888,974,803,829,909,1000,780,938,861,946,50,672,166,589,111,285,642,888,857,757,747,986,692,917,708,688,817,50,509,250,579,111,214,cbc4429f8320620f8ab617f67211078fad51aee7
2024-01-10,122.0.6238.0,818,1000,868,849,979,896,732,810,751,650,822,194,509,614,647,1000,214,123.0a1-nightly,641,888,974,803,832,909,1000,776,937,861,946,50,672,166,589,111,285,642,888,857,764,831,986,732,913,704,688,817,47,509,250,579,111,214,7f564156b7e55b6300f795efcbeff8d63fb96004
2024-01-12,122.0.6242.0,818,1000,868,847,930,896,732,810,751,650,827,194,529,614,647,1000,214,123.0a1-nightly,641,888,974,802,832,909,1000,780,937,861,946,50,672,166,589,111,285,642,888,857,762,780,986,732,917,704,688,822,47,529,250,579,111,214,ae27ac9c8b718cd2abbc632f34c525d5068fbecf
2024-01-13,122.0.6245.0,827,1000,868,847,970,896,732,810,747,650,822,194,489,614,647,1000,214,123.0a1-nightly,641,888,974,802,822,909,1000,780,938,861,946,50,672,166,589,111,285,653,888,857,760,820,986,732,917,700,688,817,47,489,250,579,111,214,9e0d5be01079de6c7d32474f2a26dfeaef2a791c
2024-01-17,122.0.6253.0,827,1000,868,846,950,896,732,810,747,624,827,194,489,614,647,1000,214,123.0a1-nightly,641,888,974,802,822,909,1000,780,937,861,946,50,672,166,589,111,285,653,888,857,761,790,986,732,917,699,659,822,47,489,250,579,111,214,f66439a5ca42e416c30740cb25a7a72f3dda6d54
2024-01-20,122.0.6259.0,827,1000,868,844,970,908,732,810,750,650,798,197,529,614,589,1000,214,123.0a1-nightly,641,903,974,801,822,893,1000,780,938,861,946,50,672,166,589,111,285,653,903,857,755,810,982,732,917,702,688,793,50,529,250,520,111,214,645428d5fd3657a0d3ab7a673fcc29f301618c60
2024-01-24,123.0.6262.0,827,1000,868,879,970,908,692,810,751,650,845,197,509,614,589,1000,214,124.0a1-nightly,641,903,974,802,822,893,1000,780,937,861,946,50,672,166,589,111,1000,653,903,857,787,810,982,692,917,702,688,840,50,509,250,520,111,214,3564a4ae5e12f017d250bea7008c7f12aeb2446c
2024-01-29,123.0.6269.0,848,1000,868,879,940,999,732,810,751,650,821,197,363,614,647,1000,214,124.0a1-nightly,691,925,974,802,822,984,1000,780,937,861,946,50,567,166,895,111,1000,687,925,857,787,790,983,732,917,703,688,816,50,423,250,589,111,214,fb81ba9b33964b3177b4f6c1715d5f46c325b443
